"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
265,"HL","Hecla Mining Co","Basic Materials","Other Precious Metals & Mining","USA",14078.77,73.95,22.45,6.85%,20405702
266,"HLT","Hilton Worldwide Holdings Inc","Consumer Cyclical","Lodging","USA",69342.38,43.53,300.36,0.68%,2016924
267,"HMY","Harmony Gold Mining Co Ltd ADR","Basic Materials","Gold","South Africa",12922.56,16.40,20.69,0.39%,2916071
268,"HOLX","Hologic, Inc","Healthcare","Medical Instruments & Supplies","USA",16703.15,30.15,74.87,-0.01%,1898890
269,"HOOD","Robinhood Markets Inc","Financial","Capital Markets","USA",103757.40,47.85,115.27,-0.10%,18094807
270,"HP","Helmerich & Payne, Inc","Energy","Oil & Gas Drilling","USA",3092.26,,30.63,-2.48%,1269227
271,"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment","USA",29386.42,,22.17,0.68%,25301922
272,"HR","Healthcare Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",6026.92,,17.14,0.18%,3158379
273,"HSAI","Hesai Group ADR","Consumer Cyclical","Auto Parts","China",3561.93,62.91,27.37,-0.87%,2133666
274,"HSIC","Henry Schein Inc","Healthcare","Medical Distribution","USA",9300.26,24.53,77.64,-1.72%,1366682
275,"HST","Host Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",12522.83,17.38,18.44,1.26%,5632561
276,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",6486.72,32.67,60.04,3.61%,5159919
277,"HWM","Howmet Aerospace Inc","Industrials","Aerospace & Defense","USA",84441.12,61.26,218.27,3.93%,2343884
278,"HXL","Hexcel Corp","Industrials","Aerospace & Defense","USA",6319.91,95.16,80.75,1.71%,1197483
279,"HYMC","Hycroft Mining Holding Corporation","Basic Materials","Gold","USA",2173.60,,27.13,3.63%,2516251
280,"IAG","Iamgold Corp","Basic Materials","Gold","Canada",10222.74,28.98,17.21,1.00%,6575626
281,"IBKR","Interactive Brokers Group Inc","Financial","Capital Markets","USA",31384.81,33.95,70.47,0.44%,3796852
282,"IBM","International Business Machines Corp","Technology","Information Technology Services","USA",282963.03,36.39,304.22,0.50%,2718828
283,"IE","Ivanhoe Electric Inc","Basic Materials","Copper","USA",2386.35,,16.75,1.58%,1323579
284,"ILMN","Illumina Inc","Healthcare","Diagnostics & Research","USA",22282.82,31.61,141.07,-3.26%,1909082
285,"IMNM","Immunome Inc","Healthcare","Biotechnology","USA",2256.36,,21.07,3.03%,2842849
286,"IMVT","Immunovant Inc","Healthcare","Biotechnology","USA",5300.85,,26.03,-1.06%,1591975
287,"INCY","Incyte Corp","Healthcare","Biotechnology","USA",20794.50,17.93,106.87,0.90%,1520739
288,"INDV","Indivior Plc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",4433.56,35.28,35.44,-0.20%,2553288
289,"INFY","Infosys Ltd ADR","Technology","Information Technology Services","India",74077.77,22.64,17.83,-1.16%,6356287
290,"ING","ING Groep N.V. ADR","Financial","Banks - Diversified","Netherlands",83057.75,,28.29,0.53%,2305143
291,"INOD","Innodata Inc","Technology","Information Technology Services","USA",2029.22,66.98,64.97,2.01%,1239266
292,"INSM","Insmed Inc","Healthcare","Biotechnology","USA",36314.07,,175.97,3.35%,5433426
293,"INTC","Intel Corp","Technology","Semiconductors","USA",204924.16,4297.17,45.55,10.80%,186691417
294,"IONQ","IonQ Inc","Technology","Computer Hardware","USA",17873.41,,49.45,-1.98%,13685959
295,"IQV","IQVIA Holdings Inc","Healthcare","Diagnostics & Research","USA",41415.26,33.28,242.41,-0.32%,1291435
296,"IREN","IREN Ltd","Financial","Capital Markets","Australia",14960.17,23.47,46.03,0.77%,41300365
297,"ISRG","Intuitive Surgical Inc","Healthcare","Medical Instruments & Supplies","USA",207408.56,77.60,586.24,0.20%,1490746
298,"IVZ","Invesco Ltd","Financial","Asset Management","USA",12582.78,19.40,28.57,1.06%,5563075
299,"J","Jacobs Solutions Inc","Industrials","Engineering & Construction","USA",16526.46,57.95,139.95,1.13%,720536
300,"JBHT","J.B. Hunt Transport Services, Inc","Industrials","Integrated Freight & Logistics","USA",19559.75,35.80,206.85,0.70%,925213
301,"JBL","Jabil Inc","Technology","Electronic Components","USA",23694.40,35.18,226.15,1.96%,993777
302,"JCI","Johnson Controls International plc","Industrials","Building Products & Equipment","Ireland",68013.28,21.77,110.85,-0.40%,6351839
303,"JEF","Jefferies Financial Group Inc","Financial","Capital Markets","USA",12593.41,22.02,62.25,1.97%,2889844
304,"JHG","Janus Henderson Group plc","Financial","Asset Management","United Kingdom",7157.72,14.05,47.76,-0.31%,2209875
305,"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",13904.69,,15.39,0.92%,33954996
306,"JPM","JPMorgan Chase & Co","Financial","Banks - Diversified","USA",896141.50,16.31,329.19,-0.18%,6738143
307,"KBH","KB Home","Consumer Cyclical","Residential Construction","USA",3731.09,10.01,61.61,6.94%,1584763
308,"KEY","Keycorp","Financial","Banks - Regional","USA",23347.03,26.16,21.19,-1.44%,13452803
309,"KEYS","Keysight Technologies Inc","Technology","Scientific & Technical Instruments","USA",35509.44,42.44,207.30,0.30%,718569
310,"KGC","Kinross Gold Corp","Basic Materials","Gold","Canada",37709.80,21.80,31.24,1.10%,6962584
311,"KGS","Kodiak Gas Services Inc","Energy","Oil & Gas Equipment & Services","USA",3121.46,46.11,36.43,-0.16%,985483
312,"KNX","Knight-Swift Transportation Holdings Inc","Industrials","Trucking","USA",9230.60,65.30,57.18,0.56%,3780684
313,"KRC","Kilroy Realty Corp","Real Estate","REIT - Office","USA",4756.75,14.70,39.85,0.08%,1450750
314,"KRG","Kite Realty Group Trust","Real Estate","REIT - Retail","USA",5276.25,208.01,23.38,-3.49%,2513143
315,"KSS","Kohl's Corp","Consumer Cyclical","Department Stores","USA",2441.24,12.05,20.54,-5.61%,4065204
316,"KTOS","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense","USA",17566.19,925.90,113.70,9.28%,6077531
317,"LAUR","Laureate Education Inc","Consumer Defensive","Education & Training Services","USA",5230.13,25.96,35.47,-0.06%,714341
318,"LC","LendingClub Corp","Financial","Banks - Regional","USA",2383.28,22.48,19.98,-3.34%,1288905
319,"LEN","Lennar Corp","Consumer Cyclical","Residential Construction","USA",27668.41,14.92,119.25,8.85%,7685955
320,"LEU","Centrus Energy Corp","Energy","Uranium","USA",5213.19,46.54,306.19,6.97%,1228665
321,"LEVI","Levi Strauss & Co","Consumer Cyclical","Apparel Manufacturing","USA",8500.54,18.77,21.75,-0.82%,1742814
322,"LHX","L3Harris Technologies Inc","Industrials","Aerospace & Defense","USA",60930.59,36.05,335.77,3.08%,1895296
323,"LITE","Lumentum Holdings Inc","Technology","Communication Equipment","USA",24691.64,234.92,351.42,0.91%,5914381
324,"LMND","Lemonade Inc","Financial","Insurance - Property & Casualty","USA",6035.28,,79.65,-1.37%,1138796
325,"LNC","Lincoln National Corp","Financial","Insurance - Life","USA",8387.71,3.93,43.78,-0.86%,1641466
326,"LNT","Alliant Energy Corp","Utilities","Utilities - Regulated Electric","USA",16849.86,20.46,65.02,-0.81%,2049811
327,"LOW","Lowe's Cos., Inc","Consumer Cyclical","Home Improvement Retail","USA",143721.36,22.15,267.21,4.29%,4092150
328,"LRCX","Lam Research Corp","Technology","Semiconductor Equipment & Materials","USA",252411.80,48.12,218.36,8.66%,16758578
329,"LSCC","Lattice Semiconductor Corp","Technology","Semiconductors","USA",11245.21,430.24,84.80,3.15%,1649520
330,"LUNR","Intuitive Machines Inc","Industrials","Aerospace & Defense","USA",3537.70,,18.56,-5.45%,16803475
331,"LUV","Southwest Airlines Co","Industrials","Airlines","USA",22196.30,67.85,44.52,3.73%,12343400
332,"LVS","Las Vegas Sands Corp","Consumer Cyclical","Resorts & Casinos","USA",41852.73,26.60,58.95,-4.77%,9774828
333,"LYFT","Lyft Inc","Technology","Software - Application","USA",7763.43,53.26,19.21,-1.18%,9914760
334,"M","Macy's Inc","Consumer Cyclical","Department Stores","USA",6306.75,13.62,23.17,-2.32%,5865794
335,"MAC","Macerich Co","Real Estate","REIT - Retail","USA",4917.72,,18.32,-0.60%,1171083
336,"MAR","Marriott International, Inc","Consumer Cyclical","Lodging","USA",87190.18,34.66,328.18,1.01%,1463770
337,"MAT","Mattel, Inc","Consumer Cyclical","Leisure","USA",6887.85,16.09,21.48,-3.07%,4587663
338,"MCD","McDonald's Corp","Consumer Cyclical","Restaurants","USA",218859.28,26.21,307.32,-0.51%,2971973
339,"MDB","MongoDB Inc","Technology","Software - Infrastructure","USA",33657.12,,408.12,-1.31%,1191327
340,"MDT","Medtronic Plc","Healthcare","Medical Devices","Ireland",126521.99,26.35,97.53,-1.18%,5982810
341,"MDU","MDU Resources Group Inc","Utilities","Utilities - Regulated Gas","USA",4104.01,24.54,20.25,0.85%,1457550
342,"MET","Metlife Inc","Financial","Insurance - Life","USA",52322.58,14.95,79.41,-0.46%,2532289
343,"MFC","Manulife Financial Corp","Financial","Insurance - Life","Canada",62951.23,16.58,37.36,0.57%,1937913
344,"MGA","Magna International Inc","Consumer Cyclical","Auto Parts","Canada",15840.54,15.38,56.21,0.52%,1830349
345,"MGM","MGM Resorts International","Consumer Cyclical","Resorts & Casinos","USA",9613.75,216.26,34.45,-1.99%,5329918
346,"MIR","Mirion Technologies Inc","Industrials","Specialty Industrial Machinery","USA",6157.22,220.46,25.97,7.05%,6132646
347,"MLYS","Mineralys Therapeutics Inc","Healthcare","Biotechnology","USA",2621.91,,33.37,0.72%,1361195
348,"MMM","3M Co","Industrials","Conglomerates","USA",87779.63,26.41,165.24,0.00%,2306849
349,"MOD","Modine Manufacturing Co","Consumer Cyclical","Auto Parts","USA",6317.83,36.17,125.14,4.28%,2415821
350,"MODG","Topgolf Callaway Brands Corp","Consumer Cyclical","Leisure","USA",2497.14,,13.77,1.40%,2233773
351,"MP","MP Materials Corporation","Basic Materials","Other Industrial Metals & Mining","USA",10821.69,,62.00,1.54%,9172276
352,"MPC","Marathon Petroleum Corp","Energy","Oil & Gas Refining & Marketing","USA",53227.68,18.79,176.17,-0.51%,2589010
353,"MPLX","MPLX LP","Energy","Oil & Gas Midstream","USA",53904.45,11.23,53.00,0.86%,1130135
354,"MRNA","Moderna Inc","Healthcare","Biotechnology","USA",13230.24,,34.30,1.30%,7551321
355,"MRVL","Marvell Technology Inc","Technology","Semiconductors","USA",70773.94,29.14,83.22,-0.28%,13486251
356,"MS","Morgan Stanley","Financial","Capital Markets","USA",293513.61,19.12,186.32,0.89%,4630857
357,"MT","ArcelorMittal","Basic Materials","Steel","Luxembourg",35725.38,14.34,46.97,-0.72%,624992
358,"MTB","M & T Bank Corp","Financial","Banks - Regional","USA",32831.56,13.04,211.68,-0.90%,1148691
359,"MTG","MGIC Investment Corp","Financial","Insurance - Specialty","USA",6506.39,9.33,29.01,-0.24%,1670916
360,"MTSI","MACOM Technology Solutions Holdings Inc","Technology","Semiconductors","USA",12563.26,,174.87,4.30%,1783357
361,"MU","Micron Technology Inc","Technology","Semiconductors","USA",388401.99,32.80,345.09,5.53%,33387505
362,"MUR","Murphy Oil Corp","Energy","Oil & Gas E&P","USA",4673.27,33.19,32.56,-0.55%,2837195
363,"NBIS","Nebius Group N.V","Technology","Software - Infrastructure","Netherlands",24659.48,,97.93,0.65%,11735268
364,"NDAQ","Nasdaq Inc","Financial","Financial Data & Stock Exchanges","USA",56951.08,35.03,98.24,-1.50%,3502171
365,"NE","Noble Corp Plc","Energy","Oil & Gas Drilling","USA",4838.47,21.84,30.46,0.79%,1248137
366,"NEE","NextEra Energy Inc","Utilities","Utilities - Regulated Electric","USA",165546.63,25.37,79.89,0.50%,5842230
367,"NG","Novagold Resources Inc","Basic Materials","Gold","USA",4101.85,,10.08,0.00%,2412808
368,"NGD","New Gold Inc","Basic Materials","Gold","Canada",7917.30,32.01,10.00,4.60%,12819288
369,"NI","NiSource Inc","Utilities","Utilities - Regulated Gas","USA",19827.47,22.20,42.03,1.16%,2500052
370,"NLY","Annaly Capital Management Inc","Real Estate","REIT - Mortgage","USA",15887.31,10.79,23.30,0.17%,15772725
371,"NMRK","Newmark Group Inc","Real Estate","Real Estate Services","USA",3137.53,29.83,17.25,-0.63%,1093107
372,"NOV","NOV Inc","Energy","Oil & Gas Equipment & Services","USA",6405.06,17.51,17.53,-0.17%,4822612
373,"NSC","Norfolk Southern Corp","Industrials","Railroads","USA",70896.93,21.91,287.21,-0.87%,786791
374,"NTR","Nutrien Ltd","Basic Materials","Agricultural Inputs","Canada",28913.40,16.12,59.82,0.03%,2647374
375,"NTRA","Natera Inc","Healthcare","Diagnostics & Research","USA",33136.21,,234.31,-2.19%,1016199
376,"NU","Nu Holdings Ltd","Financial","Banks - Regional","Cayman Islands",84363.50,33.83,17.46,-0.85%,29787835
377,"NUE","Nucor Corp","Basic Materials","Steel","USA",38420.79,23.01,163.77,-2.45%,1919519
378,"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",4492098.01,45.79,184.86,-0.10%,131327534
379,"NVST","Envista Holdings Corp","Healthcare","Medical Instruments & Supplies","USA",3883.75,282.66,23.63,0.04%,2500429
380,"NVT","nVent Electric plc","Industrials","Electrical Equipment & Parts","United Kingdom",16574.85,29.03,105.38,2.59%,1724303
381,"NVTS","Navitas Semiconductor Corp","Technology","Semiconductors","USA",2318.79,,10.07,0.10%,23796485
382,"NWG","NatWest Group Plc ADR","Financial","Banks - Regional","United Kingdom",68985.11,10.10,17.26,-1.20%,4622301
383,"NXE","NexGen Energy Ltd","Energy","Uranium","Canada",7029.97,,10.74,-0.46%,6863334
384,"NXPI","NXP Semiconductors NV","Technology","Semiconductors","Netherlands",59870.84,29.83,241.15,1.37%,2732475
385,"NXT","Nextpower Inc","Technology","Solar","USA",13239.07,23.69,91.17,2.19%,974469
386,"NYT","New York Times Co","Communication Services","Publishing","USA",11632.31,34.63,71.07,-0.81%,1149648
387,"OCUL","Ocular Therapeutix Inc","Healthcare","Biotechnology","USA",2424.48,,11.26,-1.05%,2662027
388,"OHI","Omega Healthcare Investors, Inc","Real Estate","REIT - Healthcare Facilities","USA",13204.24,24.87,44.27,-0.92%,1623111
389,"OI","O-I Glass Inc","Consumer Cyclical","Packaging & Containers","USA",2354.60,,15.48,0.98%,2128314
390,"OKLO","Oklo Inc","Utilities","Utilities - Independent Power Producers","USA",15249.72,,105.31,7.90%,33942746
391,"OLMA","Olema Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2011.33,,28.08,9.82%,2542770
392,"OMC","Omnicom Group, Inc","Communication Services","Advertising Agencies","USA",24787.62,11.67,79.08,0.37%,2919256
393,"OMF","OneMain Holdings Inc","Financial","Credit Services","USA",8363.67,12.03,70.88,-0.23%,761754
394,"ON","ON Semiconductor Corp","Technology","Semiconductors","USA",24500.82,81.12,62.16,2.09%,8930418
395,"ONB","Old National Bancorp","Financial","Banks - Regional","USA",9128.46,13.68,23.27,-0.39%,2727730
396,"ONDS","Ondas Holdings Inc","Technology","Communication Equipment","USA",5256.65,,13.69,-2.28%,114277970
397,"OPCH","Option Care Health Inc","Healthcare","Medical Care Facilities","USA",5073.10,25.25,31.80,-0.50%,3890547
398,"OR","OR Royalties Inc","Basic Materials","Gold","Canada",7256.41,49.35,38.60,1.45%,1841481
399,"ORI","Old Republic International Corp","Financial","Insurance - Property & Casualty","USA",10640.35,12.83,42.63,-0.86%,1193996
400,"OTEX","Open Text Corp","Technology","Software - Application","Canada",8258.37,17.17,32.77,0.96%,680017
401,"OUT","Outfront Media Inc","Real Estate","REIT - Specialty","USA",4110.63,35.52,24.36,-0.90%,988178
402,"PAAS","Pan American Silver Corp","Basic Materials","Gold","Canada",22904.65,31.38,54.27,2.22%,5179526
403,"PAGS","PagSeguro Digital Ltd","Technology","Software - Infrastructure","Brazil",3273.01,8.04,10.29,3.63%,3878177
404,"PATH","UiPath Inc","Technology","Software - Infrastructure","USA",9026.57,38.49,16.32,-3.32%,18807268
405,"PCAR","Paccar Inc","Industrials","Farm & Heavy Construction Machinery","USA",62079.15,23.25,118.80,0.51%,1995304
406,"PCOR","Procore Technologies Inc","Technology","Software - Application","USA",11467.46,,73.42,-0.46%,1008444
407,"PCVX","Vaxcyte Inc","Healthcare","Biotechnology","USA",5932.67,,46.05,1.61%,795354
408,"PEGA","Pegasystems Inc","Technology","Software - Application","USA",10096.81,39.26,57.94,-2.61%,979861
409,"PFG","Principal Financial Group Inc","Financial","Asset Management","USA",20152.52,13.14,90.29,-1.57%,931279
410,"PGNY","Progyny Inc","Healthcare","Healthcare Plans","USA",2364.79,42.73,26.99,-1.60%,1345329
411,"PGY","Pagaya Technologies Ltd","Technology","Software - Infrastructure","USA",2009.09,,26.03,4.16%,4428791
412,"PHM","PulteGroup Inc","Consumer Cyclical","Residential Construction","USA",25768.01,10.18,132.20,7.34%,4091193
413,"PII","Polaris Inc","Consumer Cyclical","Recreational Vehicles","USA",4139.88,,71.90,-2.31%,756440
414,"PL","Planet Labs PBC","Industrials","Aerospace & Defense","USA",7123.32,,22.71,1.20%,13919133
415,"PLD","Prologis Inc","Real Estate","REIT - Industrial","USA",122088.75,37.67,129.40,0.79%,2405630
416,"PLNT","Planet Fitness Inc","Consumer Cyclical","Leisure","USA",8809.72,43.67,106.85,1.03%,1701791
417,"PLTR","Palantir Technologies Inc","Technology","Software - Infrastructure","USA",423036.42,415.08,177.49,0.36%,31362890
418,"PNC","PNC Financial Services Group Inc","Financial","Banks - Regional","USA",85741.52,14.04,217.55,-0.50%,2873854
419,"PNR","Pentair plc","Industrials","Specialty Industrial Machinery","United Kingdom",16864.93,26.15,103.06,0.00%,1915301
420,"PONY","Pony AI Inc. ADR","Technology","Information Technology Services","China",6069.19,,17.22,-0.40%,4918270
421,"POR","Portland General Electric Co","Utilities","Utilities - Regulated Electric","USA",5509.71,17.72,48.84,-0.29%,971794
422,"PR","Permian Resources Corp","Energy","Oil & Gas E&P","USA",11704.32,12.82,14.03,-0.50%,11687897
423,"PRAX","Praxis Precision Medicines Inc","Healthcare","Biotechnology","USA",8068.10,,288.45,-2.01%,688792
424,"PRIM","Primoris Services Corp","Industrials","Engineering & Construction","USA",6745.94,25.68,129.95,4.08%,601585
425,"PRM","Perimeter Solutions Inc","Basic Materials","Specialty Chemicals","USA",4334.16,70.35,29.64,1.16%,881523
426,"PRU","Prudential Financial Inc","Financial","Insurance - Life","USA",41328.00,16.18,118.08,-0.54%,1546595
427,"PSTG","Pure Storage Inc","Technology","Computer Hardware","USA",21692.28,176.82,66.98,1.95%,3359772
428,"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","USA",58109.28,38.85,142.16,-1.43%,2710328
429,"PTGX","Protagonist Therapeutics Inc","Healthcare","Biotechnology","USA",5013.76,126.65,80.22,0.02%,983627
430,"PWR","Quanta Services, Inc","Industrials","Engineering & Construction","USA",63011.90,62.69,422.57,2.28%,1028739
431,"QBTS","D-Wave Quantum Inc","Technology","Computer Hardware","USA",10251.57,,28.11,-4.00%,46765179
432,"QCOM","Qualcomm, Inc","Technology","Semiconductors","USA",194782.76,36.35,177.78,-2.25%,9662223
433,"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",6548.27,,10.61,-2.57%,11574831
434,"QSR","Restaurant Brands International Inc","Consumer Cyclical","Restaurants","Canada",31226.24,24.60,69.00,0.50%,3004851
435,"QXO","QXO Inc","Industrials","Industrial Distribution","USA",16623.76,,25.00,1.42%,7203977
436,"RCI","Rogers Communications Inc","Communication Services","Telecom Services","Canada",19648.16,4.03,36.37,-0.44%,784741
437,"RCUS","Arcus Biosciences Inc","Healthcare","Biotechnology","USA",2641.60,,21.01,-1.59%,2414173
438,"RDDT","Reddit Inc","Communication Services","Internet Content & Information","USA",48122.45,134.70,244.56,-3.70%,5542455
439,"REXR","Rexford Industrial Realty Inc","Real Estate","REIT - Industrial","USA",9396.23,28.73,40.76,0.99%,1436174
440,"REZI","Resideo Technologies Inc","Industrials","Industrial Distribution","USA",5518.49,,37.11,0.68%,1171470
441,"RF","Regions Financial Corp","Financial","Banks - Regional","USA",25008.52,12.55,28.52,-1.11%,10426249
442,"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",8333.16,,24.72,-2.10%,36676126
443,"RIO","Rio Tinto plc ADR","Basic Materials","Other Industrial Metals & Mining","United Kingdom",101741.88,12.87,81.13,-3.63%,11009589
444,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",5625.44,45.49,15.32,1.26%,16439453
445,"RIVN","Rivian Automotive Inc","Consumer Cyclical","Auto Manufacturers","USA",24385.15,,19.22,-3.37%,32467371
446,"RJF","Raymond James Financial, Inc","Financial","Asset Management","USA",33117.68,16.30,167.71,-0.40%,840858
447,"RKLB","Rocket Lab Corp","Industrials","Aerospace & Defense","USA",44377.71,,84.85,2.13%,23780421
448,"RKT","Rocket Companies Inc","Financial","Mortgage Finance","USA",59809.50,293.32,23.29,9.65%,73308923
449,"RMBS","Rambus Inc","Technology","Semiconductors","USA",9832.76,44.32,93.38,2.23%,1746376
450,"RNA","Avidity Biosciences Inc","Healthcare","Biotechnology","USA",10909.75,,72.37,0.00%,1122166
451,"RNG","RingCentral Inc","Technology","Software - Application","USA",2558.50,211.17,29.88,3.11%,1081423
452,"ROIV","Roivant Sciences Ltd","Healthcare","Biotechnology","United Kingdom",15147.81,,21.98,0.92%,5260146
453,"ROKU","Roku Inc","Communication Services","Entertainment","USA",16084.26,,111.17,2.12%,4262158
454,"ROL","Rollins, Inc","Consumer Cyclical","Personal Services","USA",29179.50,56.99,60.68,0.78%,2049002
455,"ROST","Ross Stores, Inc","Consumer Cyclical","Apparel Retail","USA",61218.43,29.92,191.44,1.15%,2659420
456,"RSI","Rush Street Interactive Inc","Consumer Cyclical","Gambling","USA",4397.84,76.89,19.26,0.47%,954413
457,"RUN","Sunrun Inc","Technology","Solar","USA",4246.37,,18.09,-1.15%,3650386
458,"RVLV","Revolve Group Inc","Consumer Cyclical","Internet Retail","USA",2231.33,40.00,30.80,-1.53%,1202149
459,"RVMD","Revolution Medicines Inc","Healthcare","Biotechnology","USA",20760.61,,118.64,10.48%,20793757
460,"RVTY","Revvity Inc","Healthcare","Diagnostics & Research","USA",11531.43,52.22,104.43,2.67%,1181363
461,"RY","Royal Bank Of Canada","Financial","Banks - Diversified","Canada",236901.53,16.82,169.19,-0.21%,859834
462,"SA","Seabridge Gold, Inc","Basic Materials","Gold","Canada",3220.24,,30.86,-1.15%,732662
463,"SAN","Banco Santander S.A. ADR","Financial","Banks - Diversified","Spain",174324.75,12.46,11.88,-0.42%,2645799
464,"SATS","EchoStar Corp","Communication Services","Telecom Services","USA",34545.16,,120.00,2.61%,7161364
465,"SBLK","Star Bulk Carriers Corp","Industrials","Marine Shipping","Greece",2377.65,37.40,19.64,-5.35%,2285835
466,"SBRA","Sabra Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",4889.75,26.52,19.28,-1.68%,1965017
467,"SBS","Companhia de Saneamento Basico do Estado de Sao Paulo. ADR","Utilities","Utilities - Regulated Water","Brazil",17811.65,14.00,24.58,0.24%,828707
468,"SBSW","Sibanye Stillwater Limited ADR","Basic Materials","Other Precious Metals & Mining","South Africa",11074.57,,15.65,2.15%,4631906
469,"SCCO","Southern Copper Corporation","Basic Materials","Copper","USA",139672.16,36.67,170.52,6.21%,2853415
470,"SCHW","Charles Schwab Corp","Financial","Capital Markets","USA",177995.75,23.50,100.17,-1.15%,6839943
471,"SEE","Sealed Air Corp","Consumer Cyclical","Packaging & Containers","USA",6108.61,15.43,41.51,-0.02%,2502947
472,"SEI","Solaris Energy Infrastructure Inc","Energy","Oil & Gas Equipment & Services","USA",3460.52,58.38,53.16,5.16%,2603804
473,"SGI","Somnigroup International Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",19357.68,61.16,93.78,1.69%,1268827
474,"SHC","Sotera Health Co","Healthcare","Diagnostics & Research","USA",5343.81,99.48,19.20,2.07%,5689217
475,"SHOO","Steven Madden Ltd","Consumer Cyclical","Footwear & Accessories","USA",3312.48,57.21,45.05,-1.18%,982806
476,"SHOP","Shopify Inc","Technology","Software - Application","Canada",214126.64,120.45,164.48,-2.26%,5068690
477,"SLB","SLB Ltd","Energy","Oil & Gas Equipment & Services","USA",66375.03,17.47,45.20,1.73%,18306842
478,"SMTC","Semtech Corp","Technology","Semiconductors","USA",6680.47,255.72,77.79,7.76%,1714518
479,"SN","SharkNinja Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",17352.56,29.75,120.49,-1.99%,1617562
480,"SNDR","Schneider National Inc","Industrials","Trucking","USA",5003.05,44.55,28.89,1.23%,815259
481,"SNOW","Snowflake Inc","Technology","Software - Application","USA",76580.94,,219.09,-2.10%,4650012
482,"SOFI","SoFi Technologies Inc","Financial","Credit Services","USA",34939.63,49.68,27.40,-1.15%,43777036
483,"SOLV","Solventum Corp","Healthcare","Medical Instruments & Supplies","USA",14876.60,9.92,86.14,0.43%,741491
484,"SONO","Sonos Inc","Technology","Consumer Electronics","USA",2015.23,,16.63,-0.78%,1051456
485,"SPG","Simon Property Group, Inc","Real Estate","REIT - Retail","USA",60295.76,25.40,184.69,-0.16%,1169326
486,"SQM","Sociedad Quimica Y Minera de Chile S.A. ADR","Basic Materials","Specialty Chemicals","Chile",10625.81,40.79,74.40,0.46%,922203
487,"SRE","Sempra","Utilities","Utilities - Diversified","USA",57455.55,27.35,88.82,0.90%,2809288
488,"SRRK","Scholar Rock Holding Corp","Healthcare","Biotechnology","USA",4250.65,,42.18,1.22%,948135
489,"SSNC","SS&C Technologies Holdings Inc","Technology","Software - Application","USA",21240.15,25.91,87.04,-2.13%,1351065
490,"ST","Sensata Technologies Holding Plc","Technology","Scientific & Technical Instruments","USA",5136.63,,35.72,1.30%,881367
491,"STAG","STAG Industrial Inc","Real Estate","REIT - Industrial","USA",7083.43,29.27,37.89,-0.11%,1263961
492,"STLA","Stellantis N.V","Consumer Cyclical","Auto Manufacturers","Netherlands",31345.96,,10.91,-1.27%,17008519
493,"STLD","Steel Dynamics Inc","Basic Materials","Steel","USA",25141.36,22.46,169.27,-1.68%,1153219
494,"STT","State Street Corp","Financial","Asset Management","USA",37092.69,14.03,132.57,-0.17%,1641920
495,"STX","Seagate Technology Holdings Plc","Technology","Computer Hardware","USA",60750.87,39.02,304.01,6.87%,3187101
496,"SWK","Stanley Black & Decker Inc","Industrials","Tools & Accessories","USA",12621.58,28.49,82.35,1.06%,1846008
497,"SYF","Synchrony Financial","Financial","Credit Services","USA",31295.27,9.50,86.89,-0.96%,2570234
498,"SYM","Symbotic Inc","Industrials","Specialty Industrial Machinery","USA",42349.55,,70.82,0.30%,1534292
499,"TAC","Transalta Corp","Utilities","Utilities - Independent Power Producers","Canada",3670.18,,12.37,1.39%,1329073
500,"TD","Toronto Dominion Bank","Financial","Banks - Diversified","Canada",159286.06,11.51,94.28,-0.34%,1725636
501,"TDC","Teradata Corp","Technology","Software - Infrastructure","USA",2892.00,26.01,31.76,2.35%,1262311
502,"TECH","Bio-Techne Corp","Healthcare","Biotechnology","USA",10062.38,134.30,65.70,1.73%,2466613
503,"TECK","Teck Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",24210.83,28.72,49.59,0.38%,3558160
504,"TEL","TE Connectivity plc","Technology","Electronic Components","Ireland",67083.97,37.58,231.60,1.57%,944723
505,"TER","Teradyne, Inc","Technology","Semiconductor Equipment & Materials","USA",33875.94,79.07,217.26,0.44%,2569850
506,"TEVA","Teva- Pharmaceutical Industries Ltd. ADR","Healthcare","Drug Manufacturers - Specialty & Generic","Israel",36710.35,52.28,32.01,-1.54%,9573581
