"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
89,"BNL","Broadstone Net Lease Inc","Real Estate","REIT - Diversified","USA",3445.62,38.98,18.05,-0.88%,1327858
90,"BNS","Bank Of Nova Scotia","Financial","Banks - Diversified","Canada",89372.85,17.90,72.29,-0.84%,1018405
91,"BRK-B","Berkshire Hathaway Inc","Financial","Insurance - Diversified","USA",1078508.69,15.96,499.10,-0.13%,3432109
92,"BRKR","Bruker Corp","Healthcare","Medical Devices","USA",7973.87,,54.46,3.77%,2168669
93,"BRSL","Brightstar Lottery PLC","Consumer Cyclical","Gambling","United Kingdom",2902.02,13.56,15.13,-1.24%,1875411
94,"BRZE","Braze Inc","Technology","Software - Application","USA",3387.79,,30.07,-0.40%,1572495
95,"BTSG","BrightSpring Health Services Inc","Healthcare","Health Information Services","USA",7051.77,62.65,37.53,-4.02%,2316292
96,"BTU","Peabody Energy Corp","Energy","Thermal Coal","USA",3988.48,,33.80,3.05%,4102887
97,"BURL","Burlington Stores Inc","Consumer Cyclical","Apparel Retail","USA",19356.35,35.07,305.35,-0.73%,1014403
98,"BWA","BorgWarner Inc","Consumer Cyclical","Auto Parts","USA",10223.62,76.38,47.67,-0.25%,1889815
99,"BWXT","BWX Technologies Inc","Industrials","Aerospace & Defense","USA",17663.65,60.25,201.46,4.28%,1015680
100,"BXMT","Blackstone Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",3270.61,31.23,19.45,-0.26%,1088120
101,"C","Citigroup Inc","Financial","Banks - Diversified","USA",217073.76,17.06,121.32,0.60%,7565715
102,"CADE","Cadence Bank","Financial","Banks - Regional","USA",8345.41,16.31,45.17,-1.09%,3768384
103,"CAH","Cardinal Health, Inc","Healthcare","Medical Distribution","USA",48110.62,30.36,201.11,-0.68%,1285020
104,"CAT","Caterpillar Inc","Industrials","Farm & Heavy Construction Machinery","USA",284592.43,31.69,617.62,1.56%,1822011
105,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",123181.41,12.81,306.81,-1.98%,1280050
106,"CBRE","CBRE Group Inc","Real Estate","Real Estate Services","USA",49388.53,40.87,165.46,-0.30%,1174067
107,"CCJ","Cameco Corp","Energy","Uranium","Canada",46832.70,124.16,107.56,1.70%,6850001
108,"CCK","Crown Holdings, Inc","Consumer Cyclical","Packaging & Containers","USA",11944.27,12.94,104.53,0.95%,733354
109,"CCL","Carnival Corp","Consumer Cyclical","Travel Services","USA",41612.38,16.07,32.13,1.39%,14978574
110,"CDE","Coeur Mining Inc","Basic Materials","Gold","USA",12600.06,29.91,20.40,3.98%,25725151
111,"CDNS","Cadence Design Systems, Inc","Technology","Software - Application","USA",86777.67,84.46,327.31,2.67%,1661059
112,"CDTX","Cidara Therapeutics Inc","Healthcare","Biotechnology","USA",6960.19,,221.38,0.00%,0
113,"CEG","Constellation Energy Corporation","Utilities","Utilities - Independent Power Producers","USA",100726.05,39.22,342.52,6.19%,5908029
114,"CENX","Century Aluminum Co","Basic Materials","Aluminum","USA",4036.11,57.21,45.69,5.67%,1690525
115,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",26297.44,16.98,60.53,-1.14%,3718863
116,"CFLT","Confluent Inc","Technology","Software - Infrastructure","USA",10826.30,,30.36,-0.20%,6587860
117,"CG","Carlyle Group Inc","Financial","Asset Management","USA",23311.35,36.40,65.41,1.13%,1614635
118,"CGAU","Centerra Gold Inc","Basic Materials","Gold","Canada",3098.57,9.34,15.36,-0.71%,1920084
119,"CGNX","Cognex Corp","Technology","Scientific & Technical Instruments","USA",6325.15,60.25,39.01,3.37%,1861679
120,"CHRW","C.H. Robinson Worldwide, Inc","Industrials","Integrated Freight & Logistics","USA",19611.95,34.61,170.77,2.87%,2164376
121,"CIEN","CIENA Corp","Technology","Communication Equipment","USA",31721.90,271.44,230.56,2.38%,2772432
122,"CIFR","Cipher Mining Inc","Financial","Capital Markets","USA",6538.77,,16.63,0.48%,25340153
123,"CLBT","Cellebrite DI Ltd","Technology","Software - Infrastructure","Israel",4394.28,60.17,18.46,0.60%,822877
124,"CLF","Cleveland-Cliffs Inc","Basic Materials","Steel","USA",6984.61,,12.76,4.08%,20572985
125,"CLS","Celestica, Inc","Technology","Electronic Components","Canada",34776.59,49.06,302.30,4.75%,2225781
126,"CM","Canadian Imperial Bank Of Commerce","Financial","Banks - Diversified","USA",84089.86,14.82,90.75,-1.03%,564526
127,"CMA","Comerica, Inc","Financial","Banks - Regional","USA",11828.62,17.51,91.51,-1.13%,1028387
128,"CMC","Commercial Metals Co","Basic Materials","Steel","USA",8036.35,18.67,72.46,2.62%,1350386
129,"CNQ","Canadian Natural Resources Ltd","Energy","Oil & Gas E&P","Canada",66826.17,14.26,32.08,1.68%,8539046
130,"CNTA","Centessa Pharmaceuticals plc ADR","Healthcare","Biotechnology","United Kingdom",3013.70,,22.42,1.68%,1148197
131,"CNX","CNX Resources Corp","Energy","Oil & Gas E&P","USA",4756.90,24.09,34.50,-2.21%,1733963
132,"COF","Capital One Financial Corp","Financial","Credit Services","USA",158424.82,105.69,249.20,-2.53%,3834315
133,"COHR","Coherent Corp","Technology","Scientific & Technical Instruments","USA",27211.15,256.61,178.06,2.84%,5456506
134,"COLB","Columbia Banking System, Inc","Financial","Banks - Regional","USA",8782.19,13.07,29.05,-1.06%,1469137
135,"COMM","CommScope Holding Company Inc","Technology","Communication Equipment","USA",3939.14,,18.50,4.05%,3959978
136,"COMP","Compass Inc","Real Estate","Real Estate Services","USA",9286.60,,12.84,4.73%,50024973
