contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,volume_nonzero,oi_ov,bas,ticker,expiry
PLTR260320C00270000,2026-01-09 19:38:32+00:00,270.0,0.95,0.92,0.96,-0.099999964,-9.523807,84.0,4190,0.5668988623046876,False,REGULAR,USD,84.0,49.88095238095238,0.039999999999999925,PLTR,2026-03-20
PONY260220C00020000,2026-01-09 20:54:59+00:00,20.0,0.87,0.82,0.89,0.04000002,4.8192797,257.0,3424,0.79101771484375,False,REGULAR,USD,257.0,13.32295719844358,0.07000000000000006,PONY,2026-02-20
QS260220C00014000,2026-01-09 20:23:43+00:00,14.0,0.42,0.39,0.47,-0.050000012,-10.6383,174.0,3065,0.98242205078125,False,REGULAR,USD,174.0,17.614942528735632,0.07999999999999996,QS,2026-02-20
QS260220C00016000,2026-01-09 20:58:53+00:00,16.0,0.31,0.25,0.31,-0.030000001,-8.823529,317.0,6171,1.0722702636718753,False,REGULAR,USD,317.0,19.466876971608833,0.06,QS,2026-02-20
QS260220C00018000,2026-01-09 20:19:12+00:00,18.0,0.2,0.2,0.22,-0.030000001,-13.043478,197.0,3077,1.171879140625,False,REGULAR,USD,197.0,15.619289340101522,0.01999999999999999,QS,2026-02-20
QS260220C00020000,2026-01-09 20:52:12+00:00,20.0,0.16,0.15,0.16,-0.02000001,-11.111116,437.0,7677,1.2382850585937497,False,REGULAR,USD,437.0,17.5675057208238,0.010000000000000009,QS,2026-02-20
QS260220C00025000,2026-01-09 20:46:12+00:00,25.0,0.08,0.05,0.1,-0.020000003,-20.000004,82.0,2239,1.3515657421874998,False,REGULAR,USD,82.0,27.304878048780488,0.05,QS,2026-02-20
RGTI260320C00030000,2026-01-09 20:46:00+00:00,30.0,2.72,2.64,2.72,-0.119999886,-4.2253485,121.0,638,1.0459032080078128,False,REGULAR,USD,121.0,5.2727272727272725,0.08000000000000007,RGTI,2026-03-20
RIOT260320C00018000,2026-01-09 19:51:12+00:00,18.0,1.33,1.3,1.37,0.060000062,4.7244143,326.0,4334,0.8588881298828125,False,REGULAR,USD,326.0,13.294478527607362,0.07000000000000006,RIOT,2026-03-20
RIOT260320C00025000,2026-01-09 20:29:32+00:00,25.0,0.39,0.39,0.49,0.0,0.0,409.0,5941,0.9443364941406249,False,REGULAR,USD,409.0,14.525672371638143,0.09999999999999998,RIOT,2026-03-20
RIOT260320C00033000,2025-11-28 15:11:17+00:00,33.0,0.62,0.0,0.0,0.0,0.0,50.0,653,0.500005,False,REGULAR,USD,50.0,13.06,0.0,RIOT,2026-03-20
RKT260320C00023000,2026-01-09 20:58:36+00:00,23.0,2.68,2.68,2.74,1.1200001,71.794876,3357.0,62411,0.6450230810546875,True,REGULAR,USD,3357.0,18.591301757521595,0.06000000000000005,RKT,2026-03-20
RKT260320C00025000,2026-01-09 20:49:55+00:00,25.0,1.86,1.85,1.92,0.86,86.0,2817.0,18170,0.6401403173828125,False,REGULAR,USD,2817.0,6.450124245651402,0.06999999999999984,RKT,2026-03-20
RKT260320C00030000,2026-01-09 20:59:11+00:00,30.0,0.72,0.69,0.75,0.37000003,105.714294,714.0,7054,0.6445348046875,False,REGULAR,USD,714.0,9.879551820728292,0.06000000000000005,RKT,2026-03-20
SBLK260220C00021000,2026-01-09 19:50:47+00:00,21.0,0.27,0.2,0.3,-0.42999998,-61.42857,69.0,941,0.299811689453125,False,REGULAR,USD,69.0,13.63768115942029,0.09999999999999998,SBLK,2026-02-20
SBSW260220C00017000,2026-01-09 20:59:53+00:00,17.0,0.9,0.85,0.95,0.099999964,12.499995,117.0,3116,0.6875031250000001,False,REGULAR,USD,117.0,26.632478632478634,0.09999999999999998,SBSW,2026-02-20
SCHW260320C00110000,2026-01-09 20:27:16+00:00,110.0,1.35,1.3,1.35,-0.28999996,-17.682924,190.0,5841,0.26148199462890626,False,REGULAR,USD,190.0,30.742105263157896,0.050000000000000044,SCHW,2026-03-20
SLB260320C00047500,2026-01-09 20:58:54+00:00,47.5,1.59,1.56,1.63,0.120000005,8.163265,647.0,4819,0.3286199951171874,False,REGULAR,USD,647.0,7.448222565687789,0.06999999999999984,SLB,2026-03-20
SLB260320C00060000,2026-01-09 17:55:43+00:00,60.0,0.18,0.13,0.23,0.010000005,5.882356,139.0,874,0.4165097412109374,False,REGULAR,USD,139.0,6.287769784172662,0.1,SLB,2026-03-20
